Q,Ewe
62.8012,2.61829
63.00105,2.62305
63.20089,2.62797
63.40077,2.63296
63.60064,2.63787
63.80049,2.64248
64.00036,2.64764
64.20021,2.65245
64.40008,2.65733
64.59996,2.66217
64.7998,2.66707
64.99968,2.67185
65.19955,2.67641
65.3994,2.68134
65.59927,2.6859
65.79915,2.69062
65.99899,2.69491
66.19887,2.69923
66.39875,2.70348
66.59862,2.70757
66.79847,2.71146
66.99834,2.71533
67.19819,2.71945
67.39806,2.72323
67.59794,2.72688
67.79778,2.73015
67.99766,2.73338
68.19753,2.73612
68.39741,2.73868
68.59725,2.7411
68.79713,2.74368
68.99697,2.74587
69.19685,2.74853
69.39672,2.75104
69.5966,2.75387
69.79644,2.75709
69.99632,2.76043
70.19619,2.76404
70.39607,2.76795
70.59591,2.77195
70.79579,2.77619
70.99566,2.78046
71.19551,2.78522
71.39538,2.79008
71.59526,2.795
71.7951,2.7999
71.99495,2.80494
72.19482,2.81
72.3947,2.81497
72.59454,2.81984
72.79439,2.82465
72.99426,2.82973
73.19411,2.83481
73.39398,2.83967
73.59386,2.84465
73.79373,2.8498
73.99358,2.8547
74.19345,2.85961
74.39333,2.86441
74.59321,2.86894
74.79305,2.87365
74.99293,2.8782
75.1928,2.88264
75.39265,2.88716
75.59252,2.89125
75.79237,2.8948
75.99224,2.89838
76.19209,2.90193
76.39196,2.90494
76.59181,2.90797
76.79168,2.9108
76.99153,2.91372
77.1914,2.91665
77.39128,2.91936
77.59115,2.92239
77.791,2.92518
77.99087,2.92812
78.19075,2.9312
78.39059,2.93424
78.59047,2.937
78.79031,2.94019
78.99019,2.94306
79.19003,2.94634
79.38991,2.94957
79.58975,2.95266
79.78963,2.95574
79.9895,2.95857
80.18938,2.96162
80.38922,2.96457
80.58907,2.96753
80.78894,2.97068
80.98882,2.97394
81.18869,2.97718
81.38857,2.98084
81.58841,2.98453
81.78829,2.98822
81.98816,2.99211
82.18801,2.99644
82.38788,3.00074
82.58776,3.00531
82.7876,3.01057
82.98745,3.01638
83.18732,3.02283
83.3872,3.02964
83.58704,3.03683
83.78692,3.04416
83.98679,3.05195
84.18664,3.05959
84.38651,3.06697
84.58636,3.0743
84.78623,3.08115
84.98611,3.08804
85.18595,3.09415
85.38583,3.10018
85.5857,3.10556
85.78558,3.11032
85.98542,3.11456
86.1853,3.11834
86.38518,3.12227
86.58505,3.12598
86.78493,3.12958
86.9848,3.1332
87.18468,3.13699
87.38452,3.14099
87.5844,3.14493
87.78427,3.14897
87.98412,3.15326
88.18396,3.15749
88.38384,3.162
88.58371,3.16645
88.78356,3.17061
88.98343,3.17501
89.18331,3.17929
89.38315,3.18347
89.58303,3.18757
89.78287,3.1917
89.98275,3.19623
90.18262,3.20128
90.38247,3.20698
90.58234,3.21322
90.78219,3.22013
90.98206,3.22778
91.18191,3.23629
91.38178,3.24468
91.58166,3.25369
91.7815,3.26294
91.98138,3.2721
92.18122,3.28117
92.3811,3.29041
92.58094,3.29981
92.78082,3.30905
92.98069,3.31852
93.18054,3.32841
93.38038,3.33812
93.58007,3.34813
93.77992,3.35796
93.97266,3.36797
94.17254,3.37778
94.36968,3.38778
94.56955,3.39748
94.76943,3.40699
94.96927,3.41622
95.16912,3.42528
95.36899,3.43392
95.56887,3.4424
95.76871,3.45032
95.96859,3.45791
96.16846,3.46518
96.36831,3.47203
96.56818,3.47813
96.76806,3.48428
96.9679,3.4895
97.16778,3.49455
97.36762,3.49887
97.41474,3.50001
97.45331,3.49999
97.48676,3.49999
97.5238,3.49999
97.56554,3.5
97.61702,3.50001
97.66392,3.50007
97.71434,3.50003
97.77578,3.49997
97.83603,3.49999
97.88791,3.49989
97.9463,3.50001
98.02203,3.5
98.09168,3.49994
98.1684,3.5
98.24976,3.50002
98.33862,3.49992
98.44356,3.49992
98.54241,3.50002
98.64724,3.49989
98.72464,3.49997
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
